Date,Home Team,Away Team,Win or Loss for Celtics,Win or Loss for Warriors,Celtics score,Warriors score,Streak
"Jun 2, 2022",Warriors,Celtics,W,L,120,108,Celtics won 2
"Jun 5, 2022",Warriors,Celtics,L,W,88,107,Warriors won 1
"Jun 8, 2022",Celtics,Warriors,W,L,116,100,Celtics won 1
"Jun 10, 2022",Celtics,Warriors,L,W,97,107,Warriors won 1
"June 13, 2022",Warriors,Celtics,L,W,94,104,Warriors won 2
"Mar 16, 2022",Warriors,Celtics,W,L,110,88,Celtics won 1
"Dec 17, 2021",Celtics,Warriors,L,W,107,111,Warriors won 1
"Apr 17, 2021",Celtics,Warriors,W,L,119,114,Celtics won 5
"Feb 2, 2021",Warriors,Celtics,W,L,111,107,Celtics won 4
"Jan 30, 2020",Celtics,Warriors,W,L,119,104,Celtics won 3
"Nov 15, 2019",Warriors,Celtics,W,L,105,100,Celtics won 2
"Mar 5, 2019",Warriors,Celtics,W,L,128,95,Celtics won 1
"Jan 26, 2019",Celtics,Warriors,L,W,111,115,Warriors won 2
"Jan 27, 2018",Warriors,Celtics,L,W,105,109,Warriors won 1
"Nov 16, 2017",Celtics,Warriors,W,L,92,88,Celtics won 2
"Mar 8, 2017",Warriors,Celtics,W,L,99,86,Celtics won 1
"Nov 18, 2016",Celtics,Warriors,L,W,88,104,Warriors won 1
"Apr 1, 2016",Warriors,Celtics,W,L,109,106,Celtics won 1
"Dec 11, 2015",Celtics,Warriors,L,W,119,124,Warriors won 5
"Mar 1, 2015",Celtics,Warriors,L,W,101,106,Warriors won 4
"Jan 25, 2015",Warriors,Celtics,L,W,111,114,Warriors won 3
"Mar 5, 2014",Celtics,Warriors,L,W,88,108,Warriors won 2
"Jan 10, 2014",Warriors,Celtics,L,W,97,99,Warriors won 1
"Mar 1, 2013",Celtics,Warriors,W,L,94,86,Celtics won 1
"Dec 29, 2012",Warriors,Celtics,L,W,83,101,Warriors won 1
"Mar 14, 2012",Warriors,Celtics,W,L,105,103,Celtics won 3
"Mar 4, 2011",Celtics,Warriors,W,L,107,103,Celtics won 2
"Feb 22, 2011",Warriors,Celtics,W,L,115,93,Celtics won 1
"Dec 28, 2009 ",Warriors,Celtics,L,W,99,103,Warriors won 1
"Nov 18, 2009 ",Celtics,Warriors,W,L,109,95,Celtics won 1
"Dec 26, 2008 ",Warriors,Celtics,L,W,89,99,Warriors won 1
"Nov 26, 2008 ",Celtics,Warriors,W,L,119,111,Celtics won 1
"Feb 20, 2008 ",Warriors,Celtics,L,W,117,119,Warriors won 1
"Nov 21, 2007 ",Celtics,Warriors,W,L,105,82,Celtics won 1
"Dec 29, 2006 ",Warriors,Celtics,L,W,100,110,Warriors won 3
"Dec 20, 2006 ",Celtics,Warriors,L,W,95,96,Warriors won 2
"Dec 28, 2005 ",Warriors,Celtics,L,W,109,111,Warriors won 1
"Dec 19, 2005 ",Celtics,Warriors,W,L,109,98,Celtics won 2
"Jan 5, 2005 ",Celtics,Warriors,W,L,84,83,Celtics won 1
"Dec 6, 2004 ",Warriors,Celtics,L,W,106,110,Warriors won 1
"Apr 2, 2004 ",Celtics,Warriors,W,L,111,106,Celtics won 2
"Dec 29, 2003 ",Warriors,Celtics,W,L,100,91,Celtics won 1
"Mar 26, 2003 ",Celtics,Warriors,L,W,95,107,Warriors won 1
"Feb 18, 2003 ",Warriors,Celtics,W,L,125,117,Celtics won 2
"Mar 27, 2002 ",Celtics,Warriors,W,L,102,99,Celtics won 1
"Feb 13, 2002 ",Warriors,Celtics,L,W,75,92,Warriors won 3
"Jan 21, 2001 ",Warriors,Celtics,L,W,91,94,Warriors won 2
"Jan 5, 2001 ",Celtics,Warriors,L,W,88,100,Warriors won 1
"Mar 15, 2000 ",Celtics,Warriors,W,L,121,104,Celtics won 1
"Feb 18, 2000 ",Warriors,Celtics,L,W,100,122,Warriors won 1
"Feb 27, 1998 ",Celtics,Warriors,W,L,120,88,Celtics won 1
"Feb 15, 1998 ",Warriors,Celtics,L,W,87,101,Warriors won 2
"Feb 19, 1997 ",Warriors,Celtics,L,W,101,112,Warriors won 1
"Jan 14, 1997 ",Celtics,Warriors,W,L,116,108,Celtics won 1
"Feb 14, 1996 ",Warriors,Celtics,L,W,103,106,Warriors won 2
"Nov 24, 1995 ",Celtics,Warriors,L,W,94,101,Warriors won 1
"Feb 15, 1995 ",Warriors,Celtics,W,L,116,115,Celtics won 2
"Jan 27, 1995 ",Celtics,Warriors,W,L,117,91,Celtics won 1
"Feb 19, 1994 ",Warriors,Celtics,L,W,90,101,Warriors won 1
"Jan 21, 1994 ",Celtics,Warriors,W,L,124,116,Celtics won 4
